PUMA Code,PUMA Name,State,Estimated hesitant,Estimated unsure or hesitant,Estimated strongly hesitant,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White
100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",Alabama,17.38,22.9,13.25,0.0516,0.0045,0.0053,0.1051,0.0006,0.8189
100200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),Alabama,16,20.43,12.07,0.0442,0.0084,0.0165,0.1691,0.0007,0.7361
100301,Huntsville (North) & Madison (East) Cities,Alabama,12.62,17.04,9.35,0.0548,0.0039,0.0355,0.3532,0.0006,0.5169
100302,Huntsville City (Central & South),Alabama,15.25,20.49,11.56,0.07,0.0033,0.022,0.1999,0.0006,0.6774
100400,DeKalb & Jackson Counties,Alabama,18.98,24.59,14.6,0.0966,0.0109,0.0026,0.0227,0.0017,0.8415
100500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),Alabama,16.18,21.03,12.25,0.1113,0.0044,0.0105,0.0293,0.0008,0.8267
100600,Morgan & Lawrence Counties--Decatur City,Alabama,17.13,22.21,13.03,0.0702,0.0159,0.0054,0.1223,0.0006,0.7582
100700,Cullman & Winston Counties,Alabama,18.05,23.13,13.79,0.0409,0.003,0.0033,0.0113,0.0001,0.9229
100800,St. Clair & Blount Counties,Alabama,18.54,23.62,14.16,0.0512,0.0024,0.0063,0.0637,0.0002,0.8631
100900,Etowah County,Alabama,17.97,23.74,13.64,0.0388,0.0037,0.0074,0.1544,0.0002,0.7786
101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",Alabama,17.83,23.5,13.68,0.0236,0.0043,0.004,0.2172,0.0001,0.736
101100,Calhoun County,Alabama,17.95,23.54,13.72,0.038,0.0019,0.0088,0.2066,0.0001,0.7207
101200,Shelby County,Alabama,14.22,18.09,10.56,0.0572,0.0026,0.0206,0.1202,0.0002,0.7787
101301,Birmingham City (West),Alabama,16.38,23.97,12.33,0.0367,0.0022,0.0018,0.8945,0,0.0536
101302,Birmingham City (East),Alabama,15.28,21.37,11.4,0.0502,0.0024,0.014,0.5577,0.0009,0.3615
101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",Alabama,12.44,16.05,9.17,0.0475,0.0009,0.034,0.1642,0.0002,0.7327
101304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",Alabama,15.6,20.62,11.65,0.0337,0.0017,0.0075,0.3589,0.0003,0.5795
101305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",Alabama,14.79,20.05,11.02,0.0244,0.0013,0.0134,0.4387,0.0002,0.5055
101400,"Walker, Marion (South & West), Fayette & Lamar Counties",Alabama,18.55,24.04,14.31,0.0234,0.0016,0.0039,0.0708,0.0001,0.883
101500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),Alabama,16.87,22.16,12.74,0.0266,0.0014,0.0075,0.211,0.0001,0.7418
101600,Tuscaloosa & Northport (Southeast) Cities,Alabama,15.29,21.81,11.49,0.0489,0.0018,0.0214,0.4327,0.0008,0.4847
101700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",Alabama,18.08,25.26,13.9,0.0121,0.0013,0.0045,0.586,0,0.3909
101800,"Chilton, Tallapoosa, Chambers & Coosa Counties",Alabama,18.06,24,13.83,0.0414,0.0019,0.0055,0.2473,0,0.689
101900,Lee County--Auburn City,Alabama,14.17,19.37,10.52,0.0368,0.0018,0.0411,0.2273,0,0.6744
102000,Montgomery City & Pike Road Town (North),Alabama,14.92,21.03,11.1,0.0333,0.0014,0.0303,0.5953,0.0001,0.3214
102100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",Alabama,16.85,22.33,12.72,0.0308,0.0023,0.0079,0.2784,0.0002,0.6612
102200,Southwest Alabama,Alabama,17.35,23.57,13.37,0.0108,0.0232,0.0028,0.4047,0.0005,0.5458
102300,"Coffee, Covington, Butler & Crenshaw Counties",Alabama,17.58,23.04,13.43,0.039,0.0059,0.0092,0.2105,0.0004,0.7123
102400,"Russell, Pike, Barbour, Macon & Bullock Counties",Alabama,16.76,23.37,12.74,0.0374,0.003,0.0099,0.4979,0.0002,0.4268
102500,"Houston, Dale, Geneva & Henry Counties--Dothan City",Alabama,17.68,23.52,13.44,0.0415,0.0041,0.0086,0.2268,0.0004,0.6954
102600,Baldwin County,Alabama,15.44,19.88,11.69,0.0456,0.0065,0.0092,0.0917,0,0.8307
102701,Mobile City (East),Alabama,16.94,23.99,12.76,0.0134,0.002,0.0062,0.671,0.0002,0.2906
102702,Mobile City (West),Alabama,14.57,20.12,10.79,0.0334,0.0017,0.0283,0.3911,0.0001,0.5181
102703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",Alabama,18.81,24.54,14.34,0.0348,0.0136,0.0205,0.172,0.0001,0.741
200101,Anchorage Municipality (North),Alaska,17.71,21.89,12.8,0.0991,0.0765,0.0843,0.0694,0.0323,0.5588
200102,Anchorage Municipality (South),Alaska,15.24,17.74,10.99,0.0855,0.0714,0.1028,0.0387,0.0172,0.5961
200200,Matanuska-Susitna & Kenai Peninsula Boroughs,Alaska,18.6,21.85,13.73,0.0465,0.0664,0.0144,0.0093,0.0026,0.7947
200300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",Alaska,18.97,22.96,13.62,0.0716,0.0893,0.0413,0.0286,0.0055,0.6893
200400,Subsistence Alaska,Alaska,23.61,28.84,17.04,0.0475,0.5224,0.0708,0.0095,0.0051,0.2803
400100,Maricopa County--Gilbert (South) & Queen Creek Towns,Arizona,12.39,17.94,9.45,0.1618,0.0034,0.0532,0.0382,0.0019,0.7083
400101,Maricopa County--Mesa City (East),Arizona,13.46,20.1,10.26,0.1794,0.0069,0.0272,0.0252,0.0012,0.7388
400102,Maricopa County--Mesa City (North Central),Arizona,14.84,21.99,11.41,0.2269,0.0283,0.0202,0.0369,0.0052,0.6618
400103,Maricopa County--Mesa City (West),Arizona,17.3,26.79,12.88,0.4352,0.0422,0.0207,0.0558,0.0053,0.4162
400104,Maricopa County--Mesa City (South Central),Arizona,14.91,22.58,11.26,0.2963,0.0132,0.0114,0.0377,0.0043,0.6152
400105,Maricopa County--Gilbert Town (North),Arizona,12.52,18.38,9.51,0.1799,0.0101,0.0516,0.0315,0.0013,0.6949
400106,Maricopa County--Chandler City (Northeast),Arizona,13.89,21.34,10.34,0.279,0.0162,0.0749,0.0582,0.0014,0.5347
400107,Maricopa County--Chandler City (South),Arizona,9.9,14.28,7.63,0.1223,0.006,0.1254,0.0392,0.0006,0.6773
400108,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,Arizona,11.3,17.18,8.32,0.2308,0.0342,0.0839,0.064,0.0022,0.5586
400109,Maricopa County--Tempe City (North),Arizona,13.34,21.47,9.95,0.2264,0.0205,0.0894,0.063,0.0027,0.563
400110,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,Arizona,11.19,16.55,8.38,0.1434,0.0105,0.031,0.0201,0.0021,0.7717
400111,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,Arizona,10.55,15.09,7.92,0.0654,0.0527,0.0544,0.0093,0.0006,0.8027
400112,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",Arizona,9.31,13.3,7.23,0.0573,0.0045,0.0465,0.0135,0.0001,0.8549
400113,Phoenix City (Northeast),Arizona,12.04,17.46,9.06,0.1249,0.0056,0.0699,0.0186,0.0024,0.7467
400114,Phoenix City (Northeast Central),Arizona,15.32,22.89,11.51,0.2805,0.0105,0.0287,0.0287,0.0011,0.6163
400115,Phoenix City (Northwest Central),Arizona,16.55,25.25,12.5,0.2947,0.0158,0.0395,0.0505,0.0015,0.5649
400116,Phoenix City (Uptown),Arizona,15.96,24.87,12.02,0.3377,0.0349,0.0311,0.0889,0.0016,0.4676
400117,Phoenix City (East),Arizona,14.78,22.72,10.83,0.3638,0.0148,0.0215,0.0524,0.0015,0.5232
400118,Phoenix City--Downtown & Sky Harbor International Airport,Arizona,15.38,24.75,11.29,0.4917,0.0264,0.0276,0.1044,0.0017,0.3261
400119,Phoenix City (South),Arizona,15.8,25.44,11.9,0.6247,0.0201,0.021,0.1621,0.0021,0.1512
400120,Phoenix City--Ahwatukee & South Mountain,Arizona,11.66,17.44,8.71,0.2398,0.0278,0.0551,0.0833,0.0012,0.5578
400121,Phoenix (Southwest) & Tolleson Cities,Arizona,15.82,25.45,11.82,0.6743,0.0112,0.0281,0.1044,0.0041,0.1585
400122,Phoenix City--Maryvale (East),Arizona,16.88,27.27,12.84,0.8036,0.0167,0.0151,0.047,0.001,0.1025
400123,Phoenix City--Maryvale (West),Arizona,16.2,26.13,12.02,0.7688,0.0171,0.0137,0.0603,0.0042,0.1221
400124,Maricopa County--Glendale City (South),Arizona,16.85,26.85,12.83,0.5744,0.0144,0.0315,0.0819,0.0026,0.2727
400125,Phoenix City (West),Arizona,16.16,25.4,12.2,0.4482,0.0136,0.0421,0.0631,0.0002,0.4099
400126,Maricopa County--Glendale City (North),Arizona,13.93,21.12,10.58,0.2114,0.011,0.0497,0.0431,0.0008,0.6573
400127,Maricopa County--Peoria City (South & Central),Arizona,14.37,21.41,10.82,0.2572,0.0064,0.0377,0.0297,0.0017,0.6369
400128,Phoenix City (North),Arizona,13.54,20.03,10.26,0.1723,0.0105,0.0586,0.0236,0.0023,0.7036
400129,Phoenix (Far North) & Peoria (Northwest) Cities,Arizona,12.24,18.01,9.37,0.1102,0.0073,0.061,0.027,0.002,0.7647
400130,Maricopa County--El Mirage City & Sun City,Arizona,11.26,16.85,8.68,0.2108,0.0039,0.0102,0.0383,0.0015,0.7228
400131,Maricopa County--Surprise City (Central),Arizona,13.53,20.01,10.27,0.1772,0.0033,0.0279,0.0619,0.0012,0.7018
400132,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",Arizona,13.69,20.77,10.51,0.2912,0.0084,0.0427,0.072,0.0016,0.5509
400133,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,Arizona,14.41,22.38,10.82,0.5112,0.0137,0.0308,0.0905,0.0026,0.3276
400134,Maricopa County (West) & Gila River Indian Community (Northwest),Arizona,15.36,23.1,11.65,0.301,0.0332,0.0203,0.0511,0.0017,0.5716
400201,Pima County (West),Arizona,14.31,22.27,10.59,0.5547,0.1188,0.0063,0.0131,0.0001,0.2982
400202,Tucson (West) & Marana Cities,Arizona,13.42,20.64,10,0.4162,0.0117,0.0314,0.0221,0.0009,0.4944
400203,Pima County (North Central)--Oro Valley Town,Arizona,12.39,18.31,9.29,0.2325,0.0056,0.0236,0.0181,0.0014,0.6892
400204,Pima County (Northeast),Arizona,9.69,14.34,7.36,0.1457,0.0083,0.053,0.0146,0.0008,0.7507
400205,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,Arizona,13.71,20.49,10.62,0.2918,0.0058,0.0185,0.0405,0.0003,0.6163
400206,Tucson City (Northeast),Arizona,13.2,20.64,9.9,0.2516,0.0077,0.0276,0.053,0.0056,0.6262
400207,Tucson City (Northwest),Arizona,15.14,25.05,11.47,0.3445,0.0223,0.0491,0.0379,0.0027,0.5166
400208,Tucson City (South),Arizona,16.47,26.56,12.43,0.7917,0.0385,0.0112,0.0311,0.0001,0.1181
400209,Tucson City (Southeast),Arizona,15.08,23.92,11.23,0.345,0.013,0.0334,0.0622,0.0011,0.513
400300,Navajo & Apache Counties,Arizona,21.05,31.97,15.86,0.0941,0.5523,0.0049,0.0065,0.0009,0.3216
400400,Coconino County--Flagstaff City,Arizona,16.26,24.94,12.27,0.1411,0.2576,0.0187,0.0112,0.0017,0.5405
400500,Yavapai County,Arizona,13.71,20.47,10.53,0.1454,0.0127,0.0092,0.0062,0.0006,0.8046
400600,Mohave & La Paz Counties--Lake Havasu City,Arizona,15.37,23.07,11.91,0.1746,0.0286,0.0104,0.0099,0.0019,0.7548
400700,Yuma County--Yuma City,Arizona,14.75,23.52,11.22,0.6376,0.0092,0.0119,0.0168,0.0006,0.3097
400800,"Gila, Graham, Greenlee & Pinal (East) Counties",Arizona,16.38,24.42,12.52,0.3019,0.1216,0.008,0.0111,0.0004,0.5434
400803,Pinal County (North)--Apache Junction City,Arizona,15.56,23.01,11.95,0.1884,0.0168,0.0161,0.0213,0.0006,0.7335
400805,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",Arizona,17.27,25.39,13.4,0.3156,0.0658,0.0107,0.0468,0.0066,0.5253
400807,"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",Arizona,16.2,24.71,12.38,0.3823,0.0531,0.02,0.0591,0.0021,0.4511
400900,Cochise & Santa Cruz Counties--Sierra Vista City,Arizona,14.1,22.3,10.76,0.484,0.0072,0.0164,0.0274,0.0024,0.4417
500100,Benton County,Arkansas,18.18,21.71,11.64,0.1662,0.0126,0.0384,0.0165,0.0061,0.7333
500200,Washington County,Arkansas,20.44,25.21,13.34,0.1678,0.0078,0.0241,0.0358,0.0227,0.7089
500300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",Arkansas,20.42,24.45,13.46,0.0492,0.0077,0.0074,0.0031,0.003,0.9104
500400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",Arkansas,21.77,26.54,14.52,0.0344,0.0056,0.0041,0.0096,0.0003,0.9255
500500,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties",Arkansas,21.34,26.31,13.91,0.0382,0.0027,0.009,0.0877,0.0004,0.8389
500600,"Crittenden, Mississippi & Craighead (East) Counties",Arkansas,21.68,27.26,14.17,0.0327,0.0016,0.0058,0.3737,0.0005,0.5389
500700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",Arkansas,22.79,28.57,15.2,0.0282,0.0017,0.0022,0.3732,0.0004,0.565
500800,"White, Jackson, Prairie & Woodruff Counties",Arkansas,22.65,27.77,15.09,0.037,0.0047,0.006,0.0748,0.0001,0.8498
500900,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",Arkansas,18.35,23.2,11.73,0.0478,0.0027,0.0171,0.3114,0.0004,0.5921
501000,Pulaski County (Central)--Little Rock City,Arkansas,17.15,21.82,10.79,0.0768,0.002,0.0275,0.4287,0.0003,0.4448
501100,Faulkner & Lonoke Counties,Arkansas,20.95,25.56,13.59,0.0423,0.0048,0.0113,0.0923,0.0018,0.8224
501200,Saline County,Arkansas,19.8,23.64,12.92,0.0476,0.0032,0.0127,0.0709,0.0012,0.8459
501300,"Pope, Johnson, Yell, Conway & Perry Counties",Arkansas,20.91,25.76,13.78,0.1041,0.0042,0.0103,0.0344,0.0001,0.8228
501400,Sebastian & Crawford Counties,Arkansas,20.68,25.29,13.42,0.1208,0.0128,0.0361,0.0495,0.0002,0.7442
501500,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties",Arkansas,21.54,26.53,14.29,0.1066,0.0123,0.0086,0.0418,0.0013,0.8037
501600,"Garland, Hot Spring, Clark & Montgomery Counties",Arkansas,20.31,25.02,13.3,0.05,0.0073,0.0056,0.106,0.0001,0.8081
501700,"Jefferson, Grant & Arkansas (Northwest) Counties",Arkansas,20.41,25.66,13.4,0.0222,0.0026,0.0069,0.4389,0.001,0.5159
501800,Southeast Arkansas,Arkansas,22.37,27.67,14.95,0.0564,0.0016,0.0022,0.3084,0,0.6215
501900,South Central Arkansas,Arkansas,19.67,24.79,12.96,0.031,0.004,0.0054,0.3572,0.0003,0.5901
502000,Southwest Arkansas,Arkansas,21.12,25.89,13.77,0.0513,0.0057,0.0031,0.2484,0.0009,0.6693
600101,Alameda County (North)--Berkeley & Albany Cities,California,4.36,6.9,2.15,0.1183,0.0029,0.2203,0.0698,0.0044,0.5209
600102,Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities,California,5.42,8.78,2.64,0.1879,0.0051,0.2319,0.2287,0.0043,0.2882
600103,Alameda County (Northeast)--Oakland (East) & Piedmont Cities,California,4.42,6.47,2.22,0.0981,0.0023,0.1372,0.1472,0.0035,0.5431
600104,Alameda County (North Central)--Oakland City (South Central),California,7.39,12.37,3.66,0.5004,0.002,0.0864,0.2905,0.0079,0.0765
600105,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities",California,4.47,7.01,2.2,0.2133,0.0034,0.3156,0.0948,0.0068,0.3139
600106,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland",California,5.32,8.38,2.59,0.3146,0.0032,0.2258,0.0973,0.0104,0.3032
600107,Alameda County (Central)--Hayward City,California,5.48,8.67,2.72,0.3997,0.0034,0.2779,0.0881,0.0196,0.1632
600108,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities",California,3.4,5.23,1.71,0.2214,0.0026,0.5116,0.041,0.0119,0.1727
600109,Alameda County (South Central)--Fremont City (East),California,3.23,4.98,1.61,0.1377,0.0037,0.5697,0.0296,0.0085,0.2134
600110,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities",California,4.36,6.14,2.18,0.1354,0.0023,0.2877,0.0224,0.0043,0.5043
600300,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",California,7.79,11.46,3.87,0.1453,0.0207,0.0148,0.0136,0.0015,0.7692
600701,Butte County (Northwest)--Chico City,California,7.23,11.22,3.6,0.1703,0.0034,0.0424,0.0182,0.0027,0.7249
600702,Butte County (Southeast)--Oroville City & Paradise Town,California,8.57,13.05,4.24,0.1558,0.0122,0.047,0.0109,0.0015,0.714
601100,"Colusa, Glenn, Tehama & Trinity Counties",California,8.21,12.84,4.1,0.3277,0.0168,0.018,0.0083,0.0007,0.6036
601301,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities,California,7.13,11.52,3.49,0.5197,0.0029,0.137,0.1621,0.0036,0.1395
601302,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites",California,4.31,6.73,2.12,0.2135,0.0017,0.2708,0.1292,0.0046,0.3231
601303,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities",California,6.25,9.44,3.12,0.2692,0.0015,0.1242,0.0447,0.0065,0.4968
601304,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town",California,3.99,5.52,2,0.0765,0.0006,0.1251,0.0104,0.0032,0.7394
601305,Contra Costa County (South)--San Ramon City & Danville Town,California,3.3,4.59,1.69,0.0707,0.0015,0.3448,0.0179,0.0025,0.5149
601306,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",California,4.49,6.35,2.24,0.1497,0.0007,0.1377,0.0258,0.0031,0.6298
601307,Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities,California,6.97,10.67,3.44,0.4169,0.0026,0.1388,0.1042,0.0054,0.2809
601308,Contra Costa County (Northeast)--Antioch City,California,6.33,10.26,3.15,0.3243,0.0022,0.1157,0.2008,0.0077,0.2936
601309,Contra Costa County (East)--Brentwood & Oakley Cities,California,6.14,9.13,3.08,0.2707,0.0044,0.0766,0.0747,0.0051,0.5158
601500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",California,9.23,14.02,4.65,0.1523,0.0372,0.0178,0.0346,0.0039,0.7167
601700,El Dorado County--El Dorado Hills,California,6.29,9.16,3.12,0.1283,0.0055,0.045,0.0076,0.0025,0.7782
601901,"Fresno County (West)--Selma, Kerman & Coalinga Cities",California,7.91,12.97,3.92,0.7656,0.005,0.0332,0.0104,0.0011,0.1715
601902,Fresno County (North Central)--Fresno City (North),California,5.88,9.15,2.82,0.3168,0.0035,0.125,0.0501,0.0009,0.4726
601903,Fresno County (Central)--Fresno City (East Central),California,7.43,12.64,3.59,0.5481,0.0057,0.1448,0.0599,0.0017,0.2166
601904,Fresno County (Central)--Fresno City (Southwest),California,8.09,13.61,3.94,0.5677,0.0055,0.0971,0.0997,0.001,0.2076
601905,Fresno County (Central)--Fresno City (Southeast),California,7.12,12.23,3.52,0.6263,0.0037,0.1785,0.0478,0.0012,0.1265
601906,Fresno County (Central)--Clovis City,California,5.57,8.3,2.73,0.2987,0.003,0.1118,0.0262,0.0026,0.5243
601907,"Fresno County (East)--Sanger, Reedley & Parlier Cities",California,7.44,11.87,3.62,0.6384,0.0069,0.0372,0.0056,0.0007,0.2881
602300,Humboldt County,California,8.21,12.5,4.02,0.1157,0.0461,0.03,0.0098,0.0032,0.7435
602500,Imperial County--El Centro City,California,7.48,12.36,3.6,0.8421,0.0061,0.0131,0.0215,0.0013,0.1064
602901,"Kern County (West)--Delano, Wasco & Shafter Cities",California,8.23,13.3,4.09,0.6222,0.0063,0.0601,0.0267,0.0009,0.2698
602902,Kern County (Central)--Bakersfield City (West),California,6.96,10.66,3.35,0.4075,0.0031,0.087,0.0576,0.0017,0.4139
602903,Kern County (Central)--Bakersfield City (Northeast),California,8.05,13.39,3.97,0.6693,0.0033,0.0186,0.0647,0.0015,0.2274
602904,Kern County (Central)--Bakersfield City (Southeast),California,8.81,14.9,4.31,0.7739,0.0023,0.0235,0.0641,0.0011,0.1263
602905,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",California,9.01,14.3,4.48,0.3271,0.0081,0.0203,0.0524,0.0009,0.5573
603100,Kings County--Hanford City,California,8.92,14.48,4.4,0.5449,0.0085,0.0369,0.0583,0.0016,0.3221
603300,Lake & Mendocino Counties,California,8.59,13.15,4.22,0.232,0.0321,0.0162,0.0129,0.0014,0.6744
603701,Los Angeles County (North/Unincorporated)--Castaic,California,6.91,10.52,3.46,0.3419,0.0047,0.0788,0.0489,0.0007,0.4879
603702,Los Angeles County (Northwest)--Santa Clarita City,California,5.53,8.32,2.71,0.3476,0.0025,0.1125,0.0366,0.0009,0.4615
603703,Los Angeles County (North Central)--Lancaster City,California,7.24,11.67,3.47,0.4011,0.0043,0.0414,0.1988,0.0008,0.3237
603704,Los Angeles County (North Central)--Palmdale City,California,7.42,11.82,3.59,0.5974,0.0047,0.047,0.1194,0.0015,0.2121
603705,Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch),California,5.07,7.87,2.49,0.3019,0.0013,0.192,0.0545,0.0021,0.4126
603706,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar),California,6.33,9.91,3.08,0.5774,0.0007,0.1125,0.0329,0.0004,0.2617
603707,Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities,California,6.85,10.96,3.31,0.8567,0.0023,0.0413,0.032,0.0005,0.06
603708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",California,6.89,10.58,3.38,0.5014,0.0009,0.0757,0.0191,0.0002,0.3821
603709,Los Angeles County (Central)--San Gabriel Valley Region (North),California,4.91,7.07,2.46,0.2039,0.0012,0.1714,0.0944,0.002,0.484
603710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",California,5.62,9.2,2.68,0.647,0.002,0.1622,0.0293,0.0054,0.1405
603711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities",California,5.34,8.02,2.61,0.3467,0.0038,0.1209,0.0292,0.0019,0.4599
603712,Los Angeles County (East Central)--Pomona City,California,6.49,10.48,3.12,0.723,0.0028,0.0993,0.0523,0.0007,0.1045
603713,Los Angeles County (East Central)--Covina & Walnut Cities,California,4.81,7.55,2.31,0.4689,0.0016,0.2924,0.0364,0.0021,0.1734
603714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights",California,3.05,5.15,1.5,0.2317,0.003,0.579,0.0249,0.0018,0.1414
603715,Los Angeles County (East Central)--West Covina City,California,5.13,8.24,2.5,0.6158,0.0012,0.2337,0.0304,0.0021,0.0988
603716,Los Angeles County (East Central)--La Puente & Industry Cities,California,5.63,9.19,2.7,0.802,0.0013,0.1328,0.0118,0.0031,0.0421
603717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities",California,3.31,5.49,1.6,0.2138,0.0012,0.5505,0.0167,0.0022,0.1923
603718,Los Angeles County (Central)--Pasadena City,California,5.12,7.87,2.45,0.3497,0.0014,0.1679,0.0828,0.0017,0.3599
603719,Los Angeles County (Central)--Glendale City,California,6.33,9.59,3.11,0.1749,0.001,0.1565,0.0176,0.001,0.6202
603720,Los Angeles County (Central)--Burbank City,California,5.52,8.26,2.63,0.2494,0.0049,0.124,0.0262,0.0001,0.5503
603721,Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village),California,6.94,10.88,3.32,0.4074,0.001,0.0689,0.0535,0.0016,0.4416
603722,Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks),California,7.27,11.57,3.45,0.5086,0.0009,0.0679,0.0477,0.0004,0.3447
603723,Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City),California,6.99,11.44,3.4,0.6982,0.0008,0.1377,0.0323,0.0022,0.1148
603724,Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana),California,6.19,9.38,3.01,0.358,0.0016,0.0959,0.0421,0.0005,0.4659
603725,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)",California,5.96,9.1,2.89,0.3391,0.0017,0.1392,0.0396,0.0011,0.444
603726,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities",California,4.68,6.73,2.35,0.0923,0.0023,0.0702,0.0184,0.0004,0.7742
603727,Los Angeles County (Central)--LA City (Central/Pacific Palisades),California,4.53,6.42,2.17,0.0927,0.0012,0.0715,0.037,0.0006,0.7561
603728,Los Angeles County (Southwest)--Santa Monica City,California,4.91,7.2,2.33,0.1635,0.001,0.091,0.047,0.0008,0.6445
603729,Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles),California,4.62,7.12,2.23,0.1737,0.0018,0.2092,0.0449,0.0021,0.5164
603730,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire),California,5.34,8.33,2.58,0.2267,0.0013,0.1908,0.0944,0.0007,0.4451
603731,Los Angeles County (Central)--West Hollywood & Beverly Hills Cities,California,5.21,7.45,2.47,0.0899,0.0015,0.072,0.0353,0.0012,0.752
603732,Los Angeles County (Central)--LA City (East Central/Hollywood),California,6.21,9.78,2.95,0.3972,0.0016,0.1297,0.0462,0.0012,0.3901
603733,Los Angeles County (Central)--LA City (Central/Koreatown),California,6.05,10.44,2.9,0.5077,0.0035,0.3388,0.0492,0.0032,0.0802
603734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",California,6.6,10.75,3.14,0.578,0.0024,0.1569,0.0381,0.002,0.2008
603735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)",California,5.19,8.28,2.49,0.6187,0.0018,0.16,0.0177,0.0009,0.1768
603736,Los Angeles County (Central)--Alhambra & South Pasadena Cities,California,3.61,6.16,1.77,0.3358,0.0032,0.4418,0.0242,0.0019,0.1676
603737,Los Angeles County (Central)--Monterey Park & Rosemead Cities,California,3.26,6.06,1.62,0.3122,0.0034,0.6282,0.0049,0.0023,0.0392
603738,Los Angeles County (Central)--El Monte & South El Monte Cities,California,5.79,10.11,2.87,0.6838,0.0019,0.2657,0.004,0.0065,0.0331
603739,Los Angeles County (Southeast)--Whittier City & Hacienda Heights,California,5.31,8.33,2.57,0.6261,0.0029,0.1624,0.0095,0.0004,0.1824
603740,Los Angeles County (Central)--Pico Rivera & Montebello Cities,California,5.88,9.46,2.83,0.8364,0.0017,0.0841,0.0084,0.0005,0.0618
